mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,mfcc_14_std,mfcc_15_std,mfcc_16_std,mfcc_17_std,mfcc_18_std,mfcc_19_std,mfcc_20_std,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,spectral_centroid_mean,spectral_centroid_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,genre,filename,file_path
-113.619385,121.55303,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973776,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.75029784,-1.688358,-0.4093285,-2.2988691,1.2199471,50.703182,17.19664,15.34861,12.281505,12.962432,9.442965,8.222213,8.310419,9.063802,7.9624414,7.8619676,7.1618433,6.4227433,6.3687506,7.058576,7.243213,6.0468674,6.4531875,7.4213667,6.8538775,0.3617269,0.3676187,0.43998006,0.24463448,0.24780174,0.33561543,0.364576,0.435647,0.29584128,0.31463376,0.40656036,0.38477036,0.32664338,0.28599295,0.31635004,0.21137722,0.25634545,0.2891178,0.27731717,0.34625837,0.25380412,0.280253,0.3327027,0.29256126,1784.416545970319,360.1941660724689,0.08306639113293343,0.02768996741355138,0.130192,0.053201236,blues,blues.00000.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00000.wav
-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.237833,4.2171254,-6.0110474,0.93266803,-0.71702784,0.2923333,-0.2857169,0.5321445,88.151985,23.667763,23.931154,16.274376,16.734621,12.508815,14.176376,11.931994,12.893105,10.215605,10.257861,9.813216,8.0561075,8.554412,7.2446527,7.4407187,7.7532763,6.9381366,7.150609,6.7692857,0.45962232,0.3498772,0.32096863,0.21158591,0.20090792,0.3310051,0.39764687,0.5606764,0.38437924,0.25547373,0.28495902,0.33423826,0.37744114,0.29691663,0.30838895,0.22881296,0.20903206,0.31096023,0.2824698,0.36677328,0.295321,0.2332154,0.2790574,0.26922664,1529.8713140945188,613.1978884116917,0.056044256724071206,0.03805920843998772,0.095891684,0.04872404,blues,blues.00001.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00001.wav
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.785763,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164971,-3.434354,-2.2313912,57.61765,22.56351,20.297462,12.00615,12.490621,8.629561,10.328758,10.32607,8.104654,8.236836,7.5925255,8.037509,7.7766604,7.598978,6.038823,6.373398,6.9065385,7.24004,6.828621,5.5340967,0.2726714,0.19586879,0.31525427,0.40813476,0.5470826,0.32177538,0.30478695,0.28851688,0.33424202,0.40191102,0.38430804,0.5881898,0.21136558,0.18095638,0.27161038,0.27133211,0.35019475,0.23583099,0.24187995,0.2514622,0.24735005,0.33322752,0.25157723,0.35295036,1552.6377863181906,395.6492065008607,0.07630074799245357,0.031737819011002394,0.17549369,0.052465174,blues,blues.00002.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00002.wav
-199.462,150.09473,5.649167,26.870144,1.7554408,14.236881,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760562,0.7769089,-3.3200555,0.6372629,-0.61750686,-3.40694,74.13483,21.36742,16.032692,12.57767,16.367716,11.264206,12.492485,9.009487,9.610511,8.439375,10.503592,6.941436,7.537466,7.8901334,7.1865416,6.667608,7.0878043,6.1116214,6.1066494,5.6558323,0.34086183,0.40857694,0.5245686,0.54707444,0.6571128,0.51167107,0.3556304,0.25169012,0.24638642,0.31520885,0.3165434,0.38285518,0.24969356,0.2372586,0.326188,0.30357853,0.34512895,0.30346847,0.23173136,0.19945031,0.2151235,0.29383782,0.28109023,0.33715898,1070.1100585189854,429.54237913885123,0.03330894446594427,0.02056877198727728,0.14113921,0.079623215,blues,blues.00003.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00003.wav
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.8047695,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.9244677,-4.4080763,-11.701833,72.09816,29.218796,18.267778,13.916656,18.342604,11.6102,9.659235,11.169667,11.401259,9.989755,8.961199,9.300109,9.46644,8.422141,8.704552,9.274307,8.679181,7.3196697,7.9327493,7.430688,0.19272667,0.31723168,0.39155152,0.25590554,0.192804,0.53058165,0.2539423,0.1392154,0.27655506,0.32433584,0.5552977,0.27302995,0.19531114,0.32192668,0.31177807,0.27461565,0.17918439,0.36230877,0.2073712,0.17713627,0.3034915,0.23367888,0.355924,0.21847454,1835.5070084014953,585.947298852198,0.1015001421004257,0.044198516021300496,0.0915404,0.04801099,blues,blues.00004.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00004.wav
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.94018424,-11.773799,-2.426076,-9.342487,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,85.460556,56.54741,25.576311,22.045116,20.820208,16.31228,13.032559,11.562216,13.127509,10.00648,8.751917,8.860253,8.951683,6.895875,7.74928,8.519501,8.289742,6.516645,6.311036,6.803858,0.23830758,0.30017722,0.61689025,0.23552348,0.12392117,0.24363397,0.27951208,0.41132158,0.24399377,0.28561264,0.28419915,0.365875,0.28926644,0.21441963,0.3830537,0.16447711,0.1373183,0.27671832,0.2569076,0.33651075,0.23532008,0.28160495,0.2847363,0.30602324,1831.9900685948742,1015.5272536119522,0.09403986975135449,0.07897575479333778,0.10343772,0.063116826,blues,blues.00005.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00005.wav
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963726,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716,-9.947577,-6.540925,-10.071382,-10.912119,-6.970003,-3.4485128,-6.498458,98.21622,43.98217,36.161358,21.916225,32.9179,16.739882,12.316179,10.143775,11.45195,12.389086,9.358328,8.014027,8.897414,7.9419365,9.296062,9.128132,7.545707,6.1860814,6.9349537,8.36777,0.42547888,0.22330673,0.1313038,0.15264677,0.24185762,0.49107337,0.24560353,0.1691784,0.2882331,0.46142802,0.35944873,0.30730906,0.3658974,0.24735771,0.18757603,0.21862149,0.21688429,0.38536417,0.24426967,0.19363722,0.29625663,0.3530621,0.33306664,0.2706736,1459.0353761872718,661.9048512246571,0.07302790308146284,0.0436989109483751,0.1416879,0.09371678,blues,blues.00006.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00006.wav
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956976,-3.548349,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816,81.08917,38.470413,24.310024,18.792528,25.503872,11.677463,12.794587,12.307668,13.115826,13.357224,12.151825,9.153007,9.660816,7.580675,9.071809,8.395058,7.2133436,7.7794085,8.0987625,7.505687,0.25941816,0.26425815,0.32541996,0.21780176,0.21512058,0.29521677,0.19004409,0.18086508,0.26435012,0.390141,0.648551,0.4365876,0.25001442,0.29886892,0.30648592,0.26724982,0.25566337,0.28941733,0.21454503,0.23968154,0.28059155,0.2695587,0.3508843,0.27776256,1451.8494584581754,670.7739279240656,0.06143500266060371,0.043011742599829005,0.13174523,0.07439894,blues,blues.00007.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00007.wav
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739909,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,51.20196,20.3649,18.476788,13.921793,13.293728,10.343644,7.594192,8.770052,6.5177164,7.6440315,6.9971523,7.4997573,7.86743,7.109595,5.7297416,7.110611,5.3751597,6.077127,5.807247,6.008099,0.3195211,0.304665,0.36683223,0.4223385,0.5240038,0.45069417,0.49352205,0.35298544,0.38034284,0.46188274,0.36648217,0.4647075,0.23000091,0.23193868,0.28907913,0.27489448,0.35117444,0.29970804,0.32791743,0.25686693,0.26486638,0.30731398,0.2622557,0.31265098,1719.2739373344168,404.2148603391187,0.06402757957623839,0.02705344827055859,0.14236063,0.038767237,blues,blues.00008.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00008.wav
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368751,-5.114481,-0.4145367,-1.1848986,-1.9183391,-2.2957962,2.89123,-4.234533,78.31431,28.262222,25.864157,18.730318,23.071655,16.684895,11.249238,8.2433195,10.496001,9.617187,9.212237,10.222245,8.740899,9.242065,10.200085,7.702675,7.647867,9.120193,8.777186,9.566596,0.24841245,0.27330637,0.4887446,0.26811463,0.17957151,0.26779726,0.22273743,0.41564548,0.27288085,0.18116428,0.22930472,0.24049188,0.2959389,0.2928632,0.3912253,0.24320707,0.21092147,0.32843414,0.21774371,0.38119727,0.2647415,0.21721067,0.30619067,0.27580717,1817.5295464146707,546.1286759179139,0.0792153184258901,0.03710199195397739,0.08132098,0.06593492,blues,blues.00009.wav,c:\Users\darsh\Documents\Codex\2026-04-27\i-am-a-first-year-computer\Data\genres_original\blues\blues.00009.wav
